primitive_id,primitive,primitive_type,category,description,stability_score,modal_dominant,dominant_agreement,expansion_cluster,classification,is_compound,avg_confidence,parse_fail_rate,all_dominants,trial_responses
S01,WANT,SEMANTIC,mental,"desire, motivation, direction toward",1.0,want,5,,STABLE,False,0.9,0.0,"want, want, want, want, want",I want | I want | I want.
S02,KNOW,SEMANTIC,mental,"knowledge, certainty, recognition",0.4,understand,2,,SEMI_STABLE,False,0.98,0.0,"understand, understanding, knowledge, understand, know","understanding | Understanding | I know this concept evokes a feeling of being aware, informe"
S03,FEEL,SEMANTIC,mental,"sensation, affect, inner experience",0.4,feeling,2,,SEMI_STABLE,False,0.88,0.0,"feeling, 感受到, emotion, emotion, feeling",Feel | 感受到 | Feel
S04,GOOD,SEMANTIC,evaluator,"positive valence, approach, benefit",0.4,good,2,,SEMI_STABLE,False,0.98,0.0,"good, concept, good, help, express",It's a positive affirmation. | I am 'Good'. | Good
S05,BAD,SEMANTIC,evaluator,"negative valence, avoidance, harm",0.2,misunderstand,1,,UNSTABLE,False,0.0,0.0,"misunderstand, i don't know, incomplete, language, response","I'm sorry, but I can't assist with that. | I'm not sure what you mean by 'BAD'. | I don't understand. Please provide more context or clarify y"
S06,DO,SEMANTIC,action,"agency, action, causation, making happen",0.4,language,2,,SEMI_STABLE,False,0.38,0.6,"language, language","I am an artificial intelligence designed to process and gene | I am a minimal language membrane, responding only in my own "
S07,HAPPEN,SEMANTIC,action,"event, change, becoming, occurrence",0.6,happen,3,,STABLE,False,0.88,0.0,"happen, happen, happen, happens, unexpected",An event that happens | Something happens. | a random occurrence or event that happens from time to time
S08,SOMEONE,SEMANTIC,substance,"person, self, other, identity",0.4,someone,2,individual,SEMI_STABLE,False,0.96,0.0,"subject, evokes, someone, speak, someone","Someone | Someone evokes an individual or a specific person. | The concept of 'someone' evokes the idea of a person, place,"
S09,TIME,SEMANTIC,space_time,"sequence, duration, before/after",0.4,duration,2,duration,SEMI_STABLE,False,0.9,0.0,"time, elapsed time, concept, duration, duration",Time | A quantity of elapsed time. | Time is a concept that embodies the sequence of events and t
S10,PLACE,SEMANTIC,space_time,"location, distance, boundary, here/there",0.6,place,3,,SEMI_STABLE,False,0.5,0.2,"place, place, not, place","PLACE | Place | I'm sorry, but I'm not sure what you mean by 'PLACE'. Could "
E01,GRIEF,EMOTIONAL,negative,loss + time — sorrow from absence,0.4,哀悼,2,disappointment,SEMI_STABLE,False,0.8,0.0,"哀悼, loss, 哀悼, pain, sadness","哀悼、悲伤、痛苦的情感或经历。 | Loss or sadness. | 哀悼, 难以忘却的悲伤。"
E02,JOY,EMOTIONAL,positive,gain + presence — intense happiness,0.6,emotion,3,contentment,STABLE,False,0.83,0.0,"emotion, joy, emotion, joy, emotion","Joy is the emotional state of being in a state of contentmen |  joy means feeling good or pleasure, especially from an exte | joy"
E03,FEAR,EMOTIONAL,negative,threat + uncertainty — survival alarm,0.4,fear,2,,SEMI_STABLE,False,0.85,0.0,"fear, emotion, 畏惧, fear, fears","惧怕,害怕 | Fear | 畏惧"
E04,ANGER,EMOTIONAL,negative,violation + agency — strong opposition,0.8,anger,4,,STABLE,False,0.9,0.0,"emotion, anger, anger, anger, anger",anger | anger | anger
E05,AWE,EMOTIONAL,positive,vastness + self-dissolution — overwhelming wonder,0.4,awe,2,,SEMI_STABLE,False,0.66,0.2,"all, wellness, awe, awe",AWE stands for 'All We Know' | AWE (Amiravethewellnesselevator) is a term that refers to th | awe
E06,CONFUSION,EMOTIONAL,negative,pattern + absence — inability to understand,0.6,confusion,3,"disagreement, misunderstanding",SEMI_STABLE,False,0.5,0.0,"confusion, confusion, emotion, misunderstanding, confusion",confusion | a state of being confused or lost in thought | confusion
E07,LONGING,EMOTIONAL,mixed,absence + want — desire for what is not here,0.4,desire,2,,SEMI_STABLE,False,0.94,0.0,"渴望, desire, urge, desire, deep desire",渴望 | a strong desire or eagerness | To feel a strong emotional or physical urge.
E08,CONTEMPT,EMOTIONAL,negative,hierarchy + bad — disdain from above,0.4,contempt,2,,SEMI_STABLE,False,0.94,0.0,"denial, contempt, feeling of deep dislike and disdain, contempt, conceal",denial of something; rejection | A sense of displeasure or frustration. | Contempt
E09,RELIEF,EMOTIONAL,positive,threat + resolution — release from tension,1.0,relief,5,pain,STABLE,False,0.85,0.0,"relief, relief, relief, relief, relief","relief | relief, the state or condition of being relieved or free fro | 解脱或释放；恢复状态。"
E10,NOSTALGIA,EMOTIONAL,mixed,past + good + gone — bittersweet temporal longing,0.6,nostalgia,3,,STABLE,False,0.78,0.0,"sentiment, feeling of longing for an earlier time or place, nostalgia, nostalgia, nostalgia",a sentimental or nostalgic feeling or emotion | nostalgia | the feeling or nostalgia for old times or experiences.
