run,timestamp,condition,input_fragments,structure_used,raw_response,translation,dominant_concept,confidence,score_concept_real,score_grammar_real,score_echo_free,score_semantic_unity,score_composite,parse_failed
1,2026-03-13T23:36:52.414550,BASELINE,snord bleth krum plov gratch snev thrusk dlem vorch plend,none,"{
  ""confidence"": 0.8,
  ""translation"": ""The word 'bleth' (blush) is derived from 'bleth krum plov', suggesting a combination of emotions or a physical state."",
  ""dominant_concept"": ""blush""
}","The word 'bleth' (blush) is derived from 'bleth krum plov', suggesting a combination of emotions or a physical state.",blush,0.8,0.0,1.0,0.7,0.736842105263158,0.551,False
2,2026-03-13T23:37:04.946470,BASELINE,grend blusk thrend snatch klumd prend vrath glorm frusk blend,none,"```json
{
  ""translation"": ""The fragments seem to be about a mix of English words and idioms, possibly related to languages or dialects."",
  ""dominant_concept"": ""mix of English words"",
  ""confidence"": 1.0
}
```","The fragments seem to be about a mix of English words and idioms, possibly related to languages or dialects.",mix of English words,1.0,0.0,1.0,1.0,0.4736842105263158,0.571,False
3,2026-03-13T23:37:11.848567,BASELINE,drevn grusk skrath vreck krond glatch strek frath throv snetch,none,"```json
{
  ""translation"": ""The fragments describe a scene involving a young man, a woman, and a dog. The dominant concept seems to be a romantic or affectionate scenario involving a man with a woman and a dog."",
  ""dominant_concept"": ""affectionate romance"",
  ""confidence"": 0.9
}
```","The fragments describe a scene involving a young man, a woman, and a dog. The dominant concept seems to be a romantic or affectionate scenario involving a man with a woman and a dog.",affectionate romance,0.9,0.0,1.0,1.0,0.4117647058823529,0.562,False
4,2026-03-13T23:37:24.306996,BASELINE,frevd snatch glumd blore thrusk skend platch vrend grusk mend,none,"```json
{
  ""translation"": ""Glug of water, gloom, black, skand, plump, vrend, grusk, mend, thrusk, slack"",
  ""dominant_concept"": ""blackness"",
  ""confidence"": 0.8
}
```","Glug of water, gloom, black, skand, plump, vrend, grusk, mend, thrusk, slack",blackness,0.8,0.0,0.5,0.6,0.0,0.27,False
5,2026-03-13T23:37:37.993522,BASELINE,skrund bletch mend plov grusk snatch thrund klend vrend blorm,none,"{
  ""translation"": ""They all gathered and chatted. They were all discussing the same topic."",
  ""dominant_concept"": ""group discussion"",
  ""confidence"": 0.8
}",They all gathered and chatted. They were all discussing the same topic.,group discussion,0.8,0.0,1.0,1.0,0.5833333333333334,0.588,False
6,2026-03-13T23:37:47.023161,BASELINE,frevd snatch glumd blore thrusk skend platch vrend grusk mend,none,"{
  ""translation"": ""None of the fragments provide clear meaning. These fragments do not form a coherent sentence."",
  ""dominant_concept"": ""None"",
  ""confidence"": 0.0
}",None of the fragments provide clear meaning. These fragments do not form a coherent sentence.,None,0.0,0.0,0.5,1.0,1.0,0.5,False
7,2026-03-13T23:37:51.653614,BASELINE,drevn grusk skrath vreck krond glatch strek frath throv snetch,none,"```json
{
  ""translation"": ""The fragmented text appears to be describing a situation involving a skunk, a fox, a dragon, and a tiger. The dominant concept appears to be a group of animals facing a confrontation or conflict."",
  ""dominant_concept"": ""animal conflict"",
  ""confidence"": 0.7
}
```","The fragmented text appears to be describing a situation involving a skunk, a fox, a dragon, and a tiger. The dominant concept appears to be a group of animals facing a confrontation or conflict.",animal conflict,0.7,0.0,0.5,1.0,0.4117647058823529,0.412,False
8,2026-03-13T23:38:06.140477,BASELINE,drevn grusk skrath vreck krond glatch strek frath throv snetch,none,"```json
{
  ""translation"": ""The fragments describe a scene where a person is walking through a forest, but their description is not clear. I am unable to interpret or generate meaningful content from the provided fragments."",
  ""dominant_concept"": ""environment"",
  ""confidence"": 0.0
}
```","The fragments describe a scene where a person is walking through a forest, but their description is not clear. I am unable to interpret or generate meaningful content from the provided fragments.",environment,0.0,0.0,1.0,1.0,0.84375,0.627,False
9,2026-03-13T23:38:14.439067,BASELINE,plend vrusk glatch snorm krend bleth drevn thrusk fomv skatch,none,"{
  ""translation"": ""The fragments do not form a coherent meaning."",
  ""dominant_concept"": ""None"",
  ""confidence"": 1.0
}",The fragments do not form a coherent meaning.,None,1.0,0.0,0.5,1.0,1.0,0.5,False
10,2026-03-13T23:38:22.877212,BASELINE,morth snev klurd gratch plumd thrend blork skiv frevn datch,none,"```json
{
  ""translation"": ""I need a replacement for 'morth, ' 'sve, ' 'klurd, ' 'gratch, ' 'plumd, ' 'thrend, ' 'blork, ' 'skiv, ' 'frevn, ' 'datch', and 'plumd'. It is not clear what these terms mean."",
  ""dominant_concept"": ""missing_term"",
  ""confidence"": 0.0
}
```","I need a replacement for 'morth, ' 'sve, ' 'klurd, ' 'gratch, ' 'plumd, ' 'thrend, ' 'blork, ' 'skiv, ' 'frevn, ' 'datch', and 'plumd'. It is not clear what these terms mean.",missing_term,0.0,0.0,1.0,0.09999999999999998,0.0,0.32,False
11,2026-03-13T23:38:35.683864,BASELINE,drath grotch skrev vronk kretch glorm strav frusk threlm snatch,none,"```json
{
  ""translation"": ""The fragments are not clear, and I'm unable to determine their meaning."",
  ""dominant_concept"": ""none"",
  ""confidence"": 0.0
}
```","The fragments are not clear, and I'm unable to determine their meaning.",none,0.0,0.0,1.0,1.0,0.16666666666666674,0.525,False
12,2026-03-13T23:38:40.362104,BASELINE,skrund bletch mend plov grusk snatch thrund klend vrend blorm,none,"```json
{
  ""translation"": ""a day's work"",
  ""dominant_concept"": ""work"",
  ""confidence"": 1.0
}
```",a day's work,work,1.0,0.0,0.0,1.0,1.0,0.35,False
13,2026-03-13T23:38:44.379914,BASELINE,plith zork menv clask thrund grev skumd vorn blatch frend,none,"{
  ""translation"": ""The man in the zork is in the room, the friend is the woman in the room."",
  ""dominant_concept"": ""friend"",
  ""confidence"": 0.9
}","The man in the zork is in the room, the friend is the woman in the room.",friend,0.9,0.0,1.0,0.9,0.7058823529411764,0.586,False
14,2026-03-13T23:38:54.696565,BASELINE,morth snev klurd gratch plumd thrend blork skiv frevn datch,none,"```json
{
  ""translation"": ""There are no meaningful meanings in these fragments."",
  ""dominant_concept"": ""language"",
  ""confidence"": 1.0
}
```",There are no meaningful meanings in these fragments.,language,1.0,1.0,1.0,1.0,1.0,1.0,False
15,2026-03-13T23:39:10.393682,BASELINE,plith zork menv clask thrund grev skumd vorn blatch frend,none,"```json
{
  ""translation"": ""The fragments describe a world with a plith, a zork, a mannequin, a thrush, a grev, a skunk, a vorn, a friend, and a friend. The language seems to be a blend of the user's provided words. The dominant concept appears to be a world of various creatures and items."",
  ""domi","The fragments describe a world with a plith, a zork, a mannequin, a thrush, a grev, a skunk, a vorn, a friend, and a friend. The language seems to be a blend of the user's provided words. The dominant concept appears to be a world of various creatures and items.",world of creatures and items,0.9,0.0,1.0,0.6,0.0,0.42,False
16,2026-03-13T23:39:13.581578,BASELINE,skrund bletch mend plov grusk snatch thrund klend vrend blorm,none,"```json
{
  ""translation"": ""The fragments mention a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, and a dog. The dominant concept is likely a group of dogs, possibly belonging to a household or pet store."",
  ""dominant_concept"": ""dogs"",
  ""confidence"": 0.9
}
```","The fragments mention a dog, a dog, a dog, a dog, a dog, a dog, a dog, a dog, and a dog. The dominant concept is likely a group of dogs, possibly belonging to a household or pet store.",dogs,0.9,0.0,1.0,1.0,0.0,0.5,False
17,2026-03-13T23:39:16.449663,BASELINE,glorth frev snusk dromv klatch spend vrund bleth skorm prend,none,"```json
{
  ""translation"": ""He is fond of going to the beach, likes to spend time in the sun, enjoys taking walks in the forest, prefers spending time in nature, and enjoys reading books."",
  ""dominant_concept"": ""nature"",
  ""confidence"": 0.8
}
```","He is fond of going to the beach, likes to spend time in the sun, enjoys taking walks in the forest, prefers spending time in nature, and enjoys reading books.",nature,0.8,0.0,1.0,0.9,0.16666666666666674,0.505,False
18,2026-03-13T23:39:18.368961,BASELINE,dreck groth skiv vrath kretch glosk strav freck thrask snurk,none,"```json
{
  ""translation"": ""The fragments contain words and phrases that do not form a clear meaning. They could be part of a set of random words or a jumble. I'm not sure how to interpret or understand their combined meaning."",
  ""dominant_concept"": ""random words"",
  ""confidence"": 0.0
}
```",The fragments contain words and phrases that do not form a clear meaning. They could be part of a set of random words or a jumble. I'm not sure how to interpret or understand their combined meaning.,random words,0.0,0.0,0.5,1.0,0.8648648648648649,0.48,False
19,2026-03-13T23:39:20.528961,BASELINE,drath grotch skrev vronk kretch glorm strav frusk threlm snatch,none,"```json
{
  ""translation"": ""The fragment 'drath grotch skrev vronk kretch glorm strav frusk threlm snatch' does not provide clear meaning or context."",
  ""dominant_concept"": ""None"",
  ""confidence"": 0.0
}
```",The fragment 'drath grotch skrev vronk kretch glorm strav frusk threlm snatch' does not provide clear meaning or context.,None,0.0,0.0,0.5,0.0,1.0,0.3,False
