run_id,seed,model_name,model_short,primitive,emotion,combo,trial,meaning_score,excitement_score,emotional_elicitation,clarity_score,universality_score,embodiment_score,novelty_score,composite_score,dominant_sensation,composite_concept,confidence,parse_failed
1,42,qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,1,8,6,7,7,6,6,6,6.85,sympathy,sympathy,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,2,5,1,0,0,0,0,1,1.4,sympathy,person,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,3,10,5,5,7,7,7,3,6.95,sympathy,person,1.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Curiosity,maybe × Curiosity,1,0,0,0,0,0,0,0,0.0,Maybe,Maybe,0.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Curiosity,maybe × Curiosity,2,10,10,0,0,0,0,0,3.5,maybe,maybe,1.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Curiosity,maybe × Curiosity,3,0,0,0,0,0,0,0,0.0,curiosity,maybe,0.0,False
1,42,qwen2.5:0.5b,qwen,move,Interest,move × Interest,1,0,0,0,0,0,0,0,0.0,move,move,0.7,False
1,42,qwen2.5:0.5b,qwen,move,Interest,move × Interest,2,0,0,0,0,0,0,0,0.0,move,move,1.0,False
1,42,qwen2.5:0.5b,qwen,move,Interest,move × Interest,3,0,0,5,0,0,0,0,1.0,move,move,0.9,False
1,42,qwen2.5:0.5b,qwen,very,Excitement,very × Excitement,1,0,0,0,0,0,0,0,0.0,neutral,excited state,0.5,False
1,42,qwen2.5:0.5b,qwen,very,Excitement,very × Excitement,2,0,0,0,0,0,0,0,0.0,neutral,neutral,0.0,False
1,42,qwen2.5:0.5b,qwen,very,Excitement,very × Excitement,3,10,10,10,10,10,10,10,10.0,excitement,very excitement,1.0,False
1,42,qwen2.5:0.5b,qwen,moment,Awe,moment × Awe,1,10,10,10,10,10,10,10,10.0,aesthetics,moment,1.0,False
1,42,qwen2.5:0.5b,qwen,moment,Awe,moment × Awe,2,10,8,9,7,6,10,1,8.1,moment,a moment,0.9,False
1,42,qwen2.5:0.5b,qwen,moment,Awe,moment × Awe,3,0,0,0,0,0,0,0,0.0,a moment,moment,0.0,False
1,42,qwen2.5:0.5b,qwen,think,Interest,think × Interest,1,8,7,10,10,9,10,10,9.05,think,think,1.0,False
1,42,qwen2.5:0.5b,qwen,think,Interest,think × Interest,2,10,10,10,10,10,10,10,10.0,interest,think,1.0,False
1,42,qwen2.5:0.5b,qwen,think,Interest,think × Interest,3,10,0,0,0,0,0,0,2.5,interest,think,1.0,False
1,42,qwen2.5:0.5b,qwen,happen,Awe,happen × Awe,1,0,0,0,0,0,0,0,0.0,Emotion: Awe,Awe,1.0,False
1,42,qwen2.5:0.5b,qwen,happen,Awe,happen × Awe,2,5,5,5,5,5,5,5,5.0,affect,emotions,1.0,False
