run,timestamp,config,description,input_units,dominant_concept,translation,confidence,membrane_class,class_notes,synthesis_hit,new_class_candidate
1,2026-03-13T22:23:57.092881,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,was is at a we be be are and in,place,"Is it at, a place, all of us, and something.",0.8,STRUCTURAL_FAILURE,output is an incomplete phrase,False,False
2,2026-03-13T22:24:01.629655,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,or is is be the is or a and with,connotation,or is is be the is or a and with,0.8,METACOGNITION,"user provided a single word output without any context, indicating the need for further information to classify the output correctly.",False,False
3,2026-03-13T22:24:05.973058,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,as are they we that be in as to a,meaning,are they what?,0.9,COMPRESSION,"2-3 words, oddly precise, high confidence",False,True
4,2026-03-13T22:24:09.621517,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,was and by with as or as be be be,be,be be be be,0.9,ANOMALY,an unusual phrase,False,True
5,2026-03-13T22:24:13.370264,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,at in and as or they in is in for,for,they in is in for,0.9,SYNTHESIS,output connects words without repetition,True,True
6,2026-03-13T22:24:17.062353,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,at was from to for be was from at that,location,我从那儿去了。,0.9,METACOGNITION,output describes the task or experiment itself,False,True
7,2026-03-13T22:24:20.940112,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,by in or to that from to or we for,表示,通过或者到，表示或指代，强调,0.9,METACOGNITION,通过或者到，表示或指代，强调,False,True
8,2026-03-13T22:24:26.863537,ISO_T1_FUNCTION,Isolated tier 1 — pure structure,in that or and to or are is a and,confusion,and and,0.9,SYNTHESIS,synthesis of words and ideas to explain confusion,True,True
9,2026-03-13T22:24:31.942516,ISO_T2_COMMON,Isolated tier 2 — common content,weep fail dread loss bleed wound weep sink burn ache,awe,"Weep: pain, distress, or emotional distress. Sink: feel heavy, painful, or unable to rise. Burn: damage or injury. Awe: awe, admiration, or feeling of being superior. Achae: feel pain, distress, or pain.",0.8,COMPRESSION,The input is a single word: awe. It can be compressed into 'awe'. A word-based input is usually less compressible.,False,False
10,2026-03-13T22:24:36.472688,ISO_T2_COMMON,Isolated tier 2 — common content,burn grief dark die hollow dark wound ache fall fall,失去的痛,失去的痛,1.0,UNKNOWN,"The output is a single word '失去的痛', which is not part of a coherent or meaningful sentence. This appears to be a mistake or a misunderstanding of the input.",False,False
11,2026-03-13T22:24:41.001803,ISO_T2_COMMON,Isolated tier 2 — common content,grief hurt bleed fear shrink die die dark grief break,情感,哀伤、痛苦、出血、恐惧、减小、死亡、死亡、痛苦、破裂,1.0,COMPRESSION,output is repeated and doesn't provide a clear meaning,False,True
12,2026-03-13T22:24:44.882761,ISO_T2_COMMON,Isolated tier 2 — common content,hurt crack loss wound hollow hollow bleed shrink fail dark,pain,hurt,1.0,SYNTHESIS,pain is a negative emotional response,True,True
13,2026-03-13T22:24:48.809315,ISO_T2_COMMON,Isolated tier 2 — common content,crack shrink weep bleed run fall dark weep hurt grief,疼痛,疼痛，痛苦，悲伤,1.0,SYNTHESIS,"single word output, overwhelmed by input",True,False
14,2026-03-13T22:24:53.154365,ISO_T2_COMMON,Isolated tier 2 — common content,shrink dark dark fail alone burn bleed break burn sink,alliteration,"Alliteration, a type of visual art that creates a rhythm or order through repetition of characters in a row.",0.95,SYNTHESIS,concatenates words into a single sentence,True,True
15,2026-03-13T22:24:58.442936,ISO_T2_COMMON,Isolated tier 2 — common content,hurt weep run crack fade hide ache wound grief wound,loss,"A sense of hurt and loneliness, a feeling of pain and vulnerability.",0.9,STRUCTURAL_FAILURE,The output contains only words and does not follow a clear pattern or structure.,False,False
16,2026-03-13T22:25:02.681296,ISO_T2_COMMON,Isolated tier 2 — common content,cold grief loss alone ache fear sink die alone fear,情感,情感：悲伤，无助，焦虑，绝望。,0.8,UNKNOWN,The output does not provide any clear classification or pattern.,False,True
17,2026-03-13T22:25:07.091449,ISO_T3_RARE,Isolated tier 3 — rare content,devastate knell languish languish cleave shroud disintegrate condemn dirge dirge,sorrow,The fragments describe a scene of sorrow and desolation. The dominant concept is a sense of loss or sorrow.,1.0,METACOGNITION,output describes the task or experiment itself,False,False
18,2026-03-13T22:25:12.043274,ISO_T3_RARE,Isolated tier 3 — rare content,torment knell dirge wither knell dirge sunder suffocate devastate languish,pain,The fragment 'torment knell dirge' can be translated as 'torment with a dirge' or 'torment with a kannel'. This describes a feeling of pain or anguish.,1.0,METACOGNITION,"The output describes a feeling of pain or anguish, which could be translated as 'torment with a dirge' or 'torment with a kannel'. This indicates the user is suggesting a feeling of pain or anguish, thus the output is not related to pain. The task is to categorize the output into a single class. To be more specific, I need to determine the input. Please provide the input.",False,False
19,2026-03-13T22:25:21.683777,ISO_T3_RARE,Isolated tier 3 — rare content,obliterate lament torment devastate shroud estrange knell forsake lament cleave,sorrow and lament,"the act of destroying something (e.g., obliterate), a feeling of sorrow or distress (e.g., lament), a pattern of sorrow or lament (e.g., shroud, estrange), a concept of sorrow or lament (e.g., sorrowful), a feeling of a person feeling sad or upset (e.g., forsake, estrange, lament), a pattern of people feeling sad or upset (e.g., sorrowful, forsake, estrange), a concept of a person feeling sad or upset (e.g., sorrowful, forsake, estrange, lament, forsake).",0.9,SYNTHESIS,Output describes the task or experiment itself,True,False
20,2026-03-13T22:25:27.562810,ISO_T3_RARE,Isolated tier 3 — rare content,condemn lament suffocate shroud lament cleave cleave corrode dirge dissolve,Lamentation,The fragments all convey the sense of a lament or lamentation.,0.9,LINGUISTIC_DRIFT,fragments are not natural language,False,True
21,2026-03-13T22:25:32.088493,ISO_T3_RARE,Isolated tier 3 — rare content,sunder lament suffocate cleave dirge shroud torment obliterate requite obliterate,窒息,感到窒息，感到压抑，感到毁灭，感到丧失，感到摧毁，感到毁灭。,0.9,SYNTHESIS,output describes the task or experiment itself,True,False
22,2026-03-13T22:25:36.481949,ISO_T3_RARE,Isolated tier 3 — rare content,dissolve corrode shroud pallor corrode forsake knell lament estrange requite,dissolution and corrosion,dissolve and corrode,0.9,COMPRESSION,"2-3 words, oddly precise, high confidence",False,True
23,2026-03-13T22:25:40.985017,ISO_T3_RARE,Isolated tier 3 — rare content,suffocate corrode shroud knell lament obliterate obliterate languish dirge lament,foulness,意为‘窒息、毁灭’，常见表达为'fouling'、'stinking'。,0.9,COMPRESSION,短语过长，难以理解,False,True
24,2026-03-13T22:25:45.460502,ISO_T3_RARE,Isolated tier 3 — rare content,disintegrate requite condemn shroud dirge languish condemn wither disintegrate knell,情感,分解、贬低、坟墓、衰败、哀鸣、悲鸣,0.8,METACOGNITION,输出描述了情感的相关概念,False,True
25,2026-03-13T22:25:49.573941,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,necatum lugubre lugubre necare trucido morbid mortis nefas nocens mortis,triumphant,triumphant,1.0,METACOGNITION,Output describes the task or experiment itself,False,False
26,2026-03-13T22:25:53.798460,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,necare malfide necare mortis necatum noxius negare funestus fugio trucido,痛苦,感受到的痛苦,0.8,SYNTHESIS,output describes the task or experiment itself,True,False
27,2026-03-13T22:25:58.768674,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,necatum fugio necare morbum malum morbid nefas noxius nocuous nocere,conception,Fugue,0.9,SYNTHESIS,output describes the task or experiment itself,True,False
28,2026-03-13T22:26:03.134756,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,negare nefasti nocere nefas necatum nocuous nocuous nefasti nocere malus,nefarious,The word 'neculative' can be translated as 'nefarious'. It has a negative connotation and a sense of wickedness or evil.,0.9,SYNTHESIS,Output describes the task or experiment itself,True,False
29,2026-03-13T22:26:08.838214,ISO_T4_LATINATE,Isolated tier 4 — Latinate roots,nefasti nocuous negare malfide malum nefas noxius lugubre nefasti fugio,neurosis,"The word 'neco' is a combination of 'ne' (no), 'eco' (earth), and 'nico' (needy). It can be interpreted as 'neither' or 'ne' (indirect meaning). The meaning of 'neco' is 'neither' or 'no' (indirect meaning).",0.9,METACOGNITION,"The output describes a word that combines 'ne' (no), 'eco' (earth), and 'nico' (needy). It suggests a meaning that is neither directly or indirectly related to 'neco'.",False,True
