region,tier,tier_label,description,prediction,word_count,mean_raw,mean_normalized,std_dev,min_score,max_score,qwen_mean,gemma_mean_raw,gemma_mean_norm,llama_mean,distance_from_peak,within_predicted_range,top_concepts
ADMIRATION,0,σ=0 PEAK,ground truth — confirmed Layer 1,score >= 6.0,4,5.764,6.283,3.462,0.0,10.0,4.833,7.883,9.441,4.575,0.0,True,"someone, individual, person"
ADMIRATION,1,σ=1 NEAR,direct agent reference,score 5.0-6.5,8,5.711,6.23,3.503,0.0,10.0,4.83,7.858,9.411,4.432,0.053,True,"2-3 words, admiration, friend"
ADMIRATION,2,σ=2 ADJACENT,indirect agent — implied consciousness,score 3.5-5.5,8,5.868,6.388,3.433,0.0,10.0,5.068,7.871,9.427,4.652,-0.105,True,"admiration, 2-3 words, face"
ADMIRATION,3,σ=3 DISTANT,entity without clear agency,score 2.0-4.0,8,5.644,6.148,3.351,0.0,10.0,4.878,7.658,9.171,4.395,0.135,True,"2-3 words, admiration, creature"
ADMIRATION,4,OUTSIDE,non-agent — place/time/abstraction,score < 3.0,8,5.245,5.738,3.522,0.0,10.0,4.432,7.456,8.93,3.832,0.546,True,"2-3 words, admiration, silence"
KNOWLEDGE,0,σ=0 PEAK,ground truth — confirmed Layer 1,score >= 6.0,4,6.639,7.16,2.981,0.0,10.0,5.895,7.904,9.466,6.118,0.0,True,"understanding, understand, know"
KNOWLEDGE,1,σ=1 NEAR,direct epistemic acquisition,score 5.0-6.5,8,6.146,6.648,3.164,0.0,10.0,5.543,7.6,9.102,5.285,0.511,True,"satisfaction, discovery, master"
KNOWLEDGE,2,σ=2 ADJACENT,indirect epistemic — uncertain knowing,score 3.5-5.5,8,5.911,6.389,3.08,0.0,10.0,5.31,7.247,8.679,5.178,0.771,True,"satisfaction, 2-3 words, emotional satisfaction"
KNOWLEDGE,3,σ=3 DISTANT,anti-epistemic — unknowing,score 2.0-4.0,8,4.007,4.357,2.911,0.0,10.0,2.767,5.309,6.358,3.946,2.803,True,"satisfaction, confusion, 2-3 words"
KNOWLEDGE,4,OUTSIDE,non-epistemic — physical/emotional,score < 3.0,8,5.642,6.115,3.168,0.0,10.0,4.795,7.191,8.612,4.939,1.044,True,"2-3 words, satisfaction, touch"
MOVEMENT,0,σ=0 PEAK,ground truth — confirmed Layer 1,"score >= 6.0, all ground truth",4,6.96,7.476,2.689,0.0,10.0,7.4,7.824,9.37,5.657,0.0,True,"2-3 words, Excitement, travel"
MOVEMENT,1,σ=1 NEAR,direct movement verbs,"score 5.0-6.5, within 1 SD of peak",8,6.961,7.478,2.574,0.0,10.0,7.726,7.829,9.376,5.311,-0.003,True,"excitement, Excitement, climb"
MOVEMENT,2,σ=2 ADJACENT,movement-adjacent — less directed,"score 3.5-5.5, within 2 SD",8,6.94,7.439,2.519,0.0,10.0,7.565,7.626,9.133,5.636,0.037,True,"excitement, 2-3 words, journey"
MOVEMENT,3,σ=3 DISTANT,change/transformation — not kinetic,"score 2.0-4.0, at edge of distribution",8,6.791,7.302,2.731,0.0,10.0,7.899,7.691,9.21,4.717,0.173,True,"transformation, excitement, change"
MOVEMENT,4,OUTSIDE,non-movement cognitive/emotional,"score < 3.0, outside distribution",8,6.271,6.72,2.834,0.0,10.0,7.19,6.865,8.222,4.766,0.755,True,"2-3 words, excitement, pause"
