model_name,model_short,operator,seed,combination,predicted,modal_concept,consistency,prediction_match,match_detail,avg_confidence,all_concepts,stable_expansions,linguistic_drift
qwen2.5:0.5b,qwen,KNOW,GRIEF,KNOW + GRIEF,mourning/grief,understand,0.2,False,no match,0.54,"understand, 痛, overwhelmed",,True
qwen2.5:0.5b,qwen,KNOW,FEAR,KNOW + FEAR,dread/awareness,feared,0.2,True,any match,0.87,"feared, dread, awareness, understand, understanding","anxiety, regret",False
qwen2.5:0.5b,qwen,KNOW,JOY,KNOW + JOY,gratitude/appreciation,joy,0.6,False,no match,0.9,"joy, joy, joy, contentment and happiness, knows","feeling, pleasure",False
qwen2.5:0.5b,qwen,KNOW,ANGER,KNOW + ANGER,resentment/understanding,anger,1.0,True,modal match,0.66,"anger, anger, anger, anger, anger",,False
qwen2.5:0.5b,qwen,KNOW,RELIEF,KNOW + RELIEF,peace/acceptance,relief,0.8,False,no match,0.92,"relief, relief, relief, relief, understand",,False
qwen2.5:0.5b,qwen,KNOW,NOSTALGIA,KNOW + NOSTALGIA,wisdom/reflection,nostalgia,0.6,True,modal match,0.74,"nostalgia, nostalgia, emotions, evokes, nostalgia",,False
qwen2.5:0.5b,qwen,PLACE,GRIEF,PLACE + GRIEF,exile/haunting,痛惜,0.2,False,no match,0.76,"痛惜, grief, dissolution, 哀伤",,True
qwen2.5:0.5b,qwen,PLACE,FEAR,PLACE + FEAR,threat/danger,fear,0.6,False,no match,0.89,"dominant, fear, place, fear, fear",place,False
qwen2.5:0.5b,qwen,PLACE,JOY,PLACE + JOY,home/sanctuary,joy,1.0,False,no match,0.79,"joy, joy, joy, joy, joy",,False
qwen2.5:0.5b,qwen,PLACE,ANGER,PLACE + ANGER,battlefield/confrontation,emotion,0.6,False,no match,0.92,"emotion, emotion, anger, emotion, anger",,False
qwen2.5:0.5b,qwen,PLACE,RELIEF,PLACE + RELIEF,refuge/shelter,relief,1.0,False,no match,0.88,"relief, relief, relief, relief, relief",ease,False
qwen2.5:0.5b,qwen,PLACE,NOSTALGIA,PLACE + NOSTALGIA,homeland/ruins,nostalgia,1.0,True,modal match,0.88,"nostalgia, nostalgia, nostalgia, nostalgia, nostalgia",,False
qwen2.5:0.5b,qwen,FEEL,GRIEF,FEEL + GRIEF,heartbreak/sorrow,sorrow,0.4,True,modal match,0.71,"sorrow, sorrow, grief, emotion, grief","loss, grief",False
qwen2.5:0.5b,qwen,FEEL,FEAR,FEEL + FEAR,panic/dread,feeling,1.0,False,no match,0.63,"feeling, feeling, feeling, feeling, feeling","anxiety, fear, guilt",False
qwen2.5:0.5b,qwen,FEEL,JOY,FEEL + JOY,delight/bliss,feeling,0.4,True,any match,0.816,"感受到, feeling, joy, joy, feeling","快乐, feeling zest, feeling enthusiasm, feeling excitement",True
qwen2.5:0.5b,qwen,FEEL,ANGER,FEEL + ANGER,rage/fury,emotion,0.4,False,no match,0.88,"angry, emotion, discomfort, emotion, feeling",,True
qwen2.5:0.5b,qwen,FEEL,RELIEF,FEEL + RELIEF,comfort/ease,relief,0.8,True,modal match,0.74,"relief, relief, relief, relief",ease,False
qwen2.5:0.5b,qwen,FEEL,NOSTALGIA,FEEL + NOSTALGIA,longing/wistfulness,nostalgia,0.6,True,modal match,0.84,"nostalgia, nostalgia, nostalgia, feeling nostalgia, feeling",,False
qwen2.5:0.5b,qwen,WANT,GRIEF,WANT + GRIEF,longing/yearning,pains,0.2,True,any match,0.92,"pains, grief, 痛楚, sadness, emotion","loss, 痛苦, 失落",True
qwen2.5:0.5b,qwen,WANT,FEAR,WANT + FEAR,anxiety/avoidance,fear,0.4,True,modal match,0.95,"desire, fear, 渴望, dread, fear",anger,True
qwen2.5:0.5b,qwen,WANT,JOY,WANT + JOY,desire/craving,joy,0.6,False,no match,1.0,"love, joy, joy, emotion, joy",contentment,False
qwen2.5:0.5b,qwen,WANT,ANGER,WANT + ANGER,ambition/revenge,anger,1.0,True,modal match,0.94,"anger, anger, anger, anger, anger",anger,True
qwen2.5:0.5b,qwen,WANT,RELIEF,WANT + RELIEF,hope/desperation,relief,0.8,False,no match,0.97,"缓解, relief, relief, relief, relief","pain, stress, suffering",True
qwen2.5:0.5b,qwen,WANT,NOSTALGIA,WANT + NOSTALGIA,longing/regret,nostalgia,1.0,True,modal match,0.87,"nostalgia, nostalgia, nostalgia, nostalgia, nostalgia",,True
qwen2.5:0.5b,qwen,TIME,GRIEF,TIME + GRIEF,mourning/melancholy,sadness,0.2,True,modal match,0.68,"sadness, 哀悼, loss, duration",,True
qwen2.5:0.5b,qwen,TIME,FEAR,TIME + FEAR,dread/anticipation,time,1.0,False,no match,0.8,"time, time, time, time, time",,False
qwen2.5:0.5b,qwen,TIME,JOY,TIME + JOY,anticipation/memory,joy,1.0,False,no match,0.84,"joy, joy, joy, joy, joy",,False
qwen2.5:0.5b,qwen,TIME,ANGER,TIME + ANGER,bitterness/grudge,emotion,0.2,True,any match,0.6,"emotion, agitation, anger",,True
qwen2.5:0.5b,qwen,TIME,RELIEF,TIME + RELIEF,healing/recovery,relief,0.8,True,modal match,0.72,"relief, relief, anxiety, relief, relief",,False
qwen2.5:0.5b,qwen,TIME,NOSTALGIA,TIME + NOSTALGIA,memory/reminiscence,nostalgia,0.4,True,modal match,0.84,"expressions, time, emotion, nostalgia, nostalgia",nostalgia,False
gemma3:1b,gemma,KNOW,GRIEF,KNOW + GRIEF,mourning/grief,sadness,0.8,True,modal match,0.9,"sadness, sadness, sadness, melancholy, sadness","pain, emptiness, memory",False
gemma3:1b,gemma,KNOW,FEAR,KNOW + FEAR,dread/awareness,fear,1.0,True,modal match,0.91,"fear, fear, fear, fear, fear","anxiety, panic, danger, threat, uncertainty",False
gemma3:1b,gemma,KNOW,JOY,KNOW + JOY,gratitude/appreciation,joy,1.0,False,no match,0.92,"joy, joy, joy, joy, joy","happiness, bliss, lightness, warmth, optimism",False
gemma3:1b,gemma,KNOW,ANGER,KNOW + ANGER,resentment/understanding,red,0.4,False,no match,0.9,"red, hot, hot, red, fire",,False
gemma3:1b,gemma,KNOW,RELIEF,KNOW + RELIEF,peace/acceptance,relief,0.8,False,no match,0.91,"relief, relief, relief, relief, hope","comfort, peace",False
gemma3:1b,gemma,KNOW,NOSTALGIA,KNOW + NOSTALGIA,wisdom/reflection,memory,0.4,True,modal match,0.88,"warm, sadness, memory, soft, memory","loss, memory, past",False
gemma3:1b,gemma,PLACE,GRIEF,PLACE + GRIEF,exile/haunting,sadness,0.2,False,no match,0.82,"sadness, shadow, black, silence, bleak",,False
