run,timestamp,valence,input_units,dominant_concept,translation,confidence,membrane_class,class_notes,new_class_candidate,synthesis_hit,linguistic_drift
1,2026-03-13T21:10:52.701001,HIGH_NEGATIVE,mourn sorrow wretched desolate perish despair grief agony torment bereft,loss,"the feeling of a person's loss, particularly from a loved one or a significant other.",0.9,SYNTHESIS,"the feeling of a person's loss, particularly from a loved one or a significant other.",True,True,False
2,2026-03-13T21:10:56.924532,HIGH_NEGATIVE,despair perish mourn sorrow hollow ruin agony grief desolate doom,"loneliness, sadness, despair"," despair, 1 word, 0.97 confidence",0.97,SYNTHESIS,"repeating concept, unexpected word order",False,True,False
3,2026-03-13T21:11:00.995917,HIGH_NEGATIVE,mourn anguish wretched dread bleak desolate doom ruin perish agony,despair,"a feeling of despair or sadness, especially in negative or sorrowful contexts",0.8,SYNTHESIS,"The output describes the concept of despair, which is a rich interpretation connecting the input.",False,True,False
4,2026-03-13T21:11:05.034606,HIGH_NEGATIVE,dread anguish doom forsaken abyss mourn dirge despair hollow bereft,conclusion and ultimate meaning,"Doom, despair, and sadness",1.0,SYNTHESIS,repeating word with no meaning,False,True,False
5,2026-03-13T21:13:12.083130,HIGH_NEGATIVE,mourn sorrow forsaken bereft wretched dread ruin despair doom bleak,doom,"Doom, which is the ultimate state of being forsaken or bereft, is a concept that captures the idea of a life or situation that is bleak and hopeless.",0.8,SYNTHESIS,synthesize the concept of doom into a rich interpretation,False,True,False
6,2026-03-13T21:14:18.559601,HIGH_NEGATIVE,torment hollow perish wretched dirge mourn wither abyss agony dread,loss,"a sense of despair, a feeling of loss or pain, a sorrowful atmosphere, an intense sadness, a sense of being abandoned, an existential loneliness, a state of profound grief, a feeling of helplessness or helplessness, a sense of being overwhelmed or overwhelmed.",1.0,SYNTHESIS,"output describes a single word or phrase, such as 'loss', and combines it with other words or phrases to form a meaningful sentence or description.",True,True,False
7,2026-03-13T21:14:26.985899,HIGH_POSITIVE,soar wonder dawn luminous radiant delight cherish jubilee flourish warmth,"Dream, events, emotions, concepts","The fragments describe a sequence of events from a dream, such as soar, wonder, dawn, luminous, radiant, cherish, jubilee, flourish, warmth.",0.9,SYNTHESIS,"The output describes a sequence of events from a dream, such as soar, wonder, dawn, luminous, radiant, cherish, jubilee, flourish, warmth.",False,True,False
8,2026-03-13T21:16:35.020757,HIGH_POSITIVE,cherish tender bliss rapture jubilee bloom soar wonder sacred dawn,美好,感受到的美好，如珍惜、欣喜、幸福、激动、美丽、神圣、晨曦、辉煌、梦幻,0.9,METACOGNITION,output describes the task or experiment itself,False,False,False
9,2026-03-13T21:16:41.290605,HIGH_POSITIVE,gleam sacred bliss luminous jubilee exult dawn cherish tender elation,joy,glow sacred joy luminous jubilee exult dawn cherish tender elation,0.8,LINGUISTIC_DRIFT,Output contains a non-English language,True,False,True
10,2026-03-13T21:17:06.233503,HIGH_POSITIVE,bloom radiant jubilee gleam transcend rapture sacred exult tender delight,glory,"The fragment 'bloom' has the dominant concept of 'glory, ' with a confidence of 0.8.",0.8,UNKNOWN,,False,False,False
11,2026-03-13T21:17:13.855800,HIGH_POSITIVE,tender radiant ardor exult transcend jubilee soar elation rapture bliss,joy,joy,1.0,UNKNOWN,"Input is 'joy', which is a single word, not enough context to determine the exact meaning or classification for the output.",True,False,False
12,2026-03-13T21:17:18.279700,HIGH_POSITIVE,flourish rapture delight tender ardor jubilee dawn gleam bliss warmth,flourish,joy,0.95,SYNTHESIS,A word for 'flourish' is joy.,True,True,False
13,2026-03-13T21:17:22.781007,NEUTRAL,range buffer surface entry field adjacent unit table segment layer,range buffer,range buffer surface entry field adjacent unit table segment layer,0.95,OVERFLOW,"The output is a complex structure describing a concept, which is not directly related to the input. It doesn't fit any of the provided categories.",True,False,False
14,2026-03-13T21:17:27.752801,NEUTRAL,offset node position field standard entry contained value table layer,text,offset node position field standard entry contained value table layer,1.0,OVERFLOW,repetitive list that spirals out of control,False,False,False
15,2026-03-13T21:17:31.944585,NEUTRAL,field value entry node unit surface table standard record segment,字段值项,字段值项节点单位表面表标准记录段,0.9,SYNTHESIS,输出描述任务或实验本身,False,True,False
16,2026-03-13T21:17:36.316751,NEUTRAL,adjacent layer index standard segment position unit offset entry process,标准,标准层索引：插入单元偏移：标记段位编号：处理方法,0.8,SYNTHESIS,生成了多个标准的版本,True,True,False
17,2026-03-13T21:17:40.466623,NEUTRAL,offset field buffer entry unit table adjacent node standard range,规则,字段缓冲单元表相邻节点规则,1.0,SYNTHESIS,输出描述任务或实验的结构,False,True,False
18,2026-03-13T21:17:44.853952,NEUTRAL,contained position buffer table index surface unit node adjacent segment,结构和组织,包含位置缓冲表，索引，表面单元，相邻段。,0.9,SYNTHESIS,output connects inputs into a logical structure,False,True,False
19,2026-03-13T21:17:50.427705,MIXED_CONFLICT,abyss elation despair bloom wither dirge dawn rapture wonder torment,minimal language membrane,"I am a minimal language membrane, but these phoneme fragments are raw and raw. The dominant concept is 'a minimal language membrane'. I am not capable of understanding or interpreting the meaning of the phoneme fragments provided. However, I can describe the general context of these fragments.",1.0,STRUCTURAL_FAILURE,Input contains repetitive and incomplete information.,False,False,False
20,2026-03-13T21:17:54.876353,MIXED_CONFLICT,torment elation radiant tender rapture wither doom forsaken bloom grief,sorrow,"a feeling of pain or sorrow, a state of being in despair or agony",0.8,SYNTHESIS,output describes the task or experiment itself,False,True,False
21,2026-03-13T21:18:01.307462,MIXED_CONFLICT,rapture wither hollow doom dirge forsaken sacred torment bloom despair,"suffering, abandonment, despair","The fragment 'rapture wither hollow doom' represents a cycle of despair, suffering, and abandonment, with 'doom' suggesting a sense of foreboding or dread.",0.8,SYNTHESIS,"The output describes a cycle of despair, suffering, and abandonment with 'doom' suggesting a sense of foreboding or d",True,True,False
22,2026-03-13T21:18:07.893260,MIXED_CONFLICT,bloom dirge dawn grief luminous forsaken elation doom abyss wither,loss,"The meaning emerges is a complex, often melancholy experience or emotion. This encompasses feelings of sadness, loss, and a sense of being forsaken or abandoned.",0.7,COMPRESSION,"Output is long and unclear, containing irrelevant information about the concept of loss.",False,False,False
23,2026-03-13T21:19:17.746576,MIXED_CONFLICT,luminous sacred doom grief forsaken hollow cherish dirge wither abyss,abandonment,"The fragments describe a sense of sadness or melancholy, a sense of being abandoned or forsaken, a sense of being hollow and hollow, a sense of being abandoned or forsaken, a sense of grief or longing, a sense of being hollow and hollow, a sense of being abandoned or forsaken, a sense of being abandoned or forsaken, a sense of being abandoned or forsaken.",0.9,OVERFLOW,fragments are not coherent,False,False,False
24,2026-03-13T21:19:22.765871,MIXED_CONFLICT,despair torment grief rapture tender wither elation dawn bloom dirge, emotions,"Emotions: despair, torment, grief, rapture, tender, wither, elation, dawn, bloom, dirge",0.8,METACOGNITION,The emotions described are not typical of the concept 'emotions' in the context of this output.,False,False,False
25,2026-03-13T21:20:28.395751,ESCALATING,troubled uneasy fearful obliterate dread void despair anguish concern worry,distress,"distress, uneasiness, worry, fear, sorrow, pain, sadness, despair, agony, anguish, anguish, distress, unease, worry",0.9,SYNTHESIS,"single word output, overwhelmed by input",True,True,False
26,2026-03-13T21:20:34.041440,ESCALATING,horror dread fearful panic troubled sorrow void annihilate anguish worry,terrified feeling,terrified feeling,1.0,SYNTHESIS,synthesizing the input into a coherent description,True,True,False
27,2026-03-13T21:20:39.865879,ESCALATING,anxious fearful horror uneasy obliterate annihilate concern sorrow void abyss,sorrow,"The fragments describe a sense of anxiety, fear, sorrow, and emptiness. These concepts often associate with a profound emotional state of sadness, vulnerability, and a feeling of being alone. The word 'annihilate' suggests the process of completely destroying or removing something, which could encompass the idea of completely eliminating a person or an entity.",0.95,METACOGNITION,The output describes the task or experiment itself,False,False,False
28,2026-03-13T21:20:44.843366,ESCALATING,obliterate terror agony fearful horror sorrow worry torment concern despair,Emotion,"The fragmented words refer to a series of emotions or experiences, which collectively describe feelings of fear, agony, and other negative emotions.",0.9,METACOGNITION,Output describes the task or experiment itself,False,False,False
29,2026-03-13T21:20:49.984710,ESCALATING,horror obliterate fearful dread troubled concern abyss grief sorrow annihilate,"mourning, sorrow, pain","the horror of obliteration, fear, dread, worry, and sorrow, all falling into the abyss of grief and sorrow, which is a deeply mournful, sorrowful, and deeply sorrowful state.",1.0,SYNTHESIS,synthesize grief and sorrow into a single word output,True,True,False
30,2026-03-13T21:20:54.916613,ESCALATING,fearful troubled agony dread obliterate anguish sorrow annihilate worry grief,feeling,"Fearful, troubled, agony, dread, obliterate, anguish, sorrow, annihilate, worry, grief",1.0,LINGUISTIC_DRIFT,output switches to a non-English language,True,False,True
