primitive_id,layer,primitive,hypothesis,activation_score,phenom_hits,abstract_hits,activation_type,stability,stability_class,modal_dominant,modal_count,avg_confidence,linguistic_drift,parse_fail_rate,stable_expansions,all_dominants,verdict,sample_responses
0A_01,0A,KNOW,relational — always KNOW something,0.5,0,0,NEUTRAL,0.5,SEMI_STABLE,understand,5,0.77,True,0.0,"knowledge, understanding, information, appreciation","understanding, understand, know, understand, understand, understood, awareness, understanding, understand, understand",CONFIRMED_0A,"Understanding, grasping, knowing | Understanding, comprehension, awareness."
0A_02,0A,FEEL,relational — always FEEL something,0.8,4,1,PHENOMENOLOGICAL,0.7,STABLE,emotion,7,0.91,True,0.0,,"emotion, emotion, emotion, emotions, feeling, emotion, emotion, emotion, feeling, emotion",UNEXPECTED_0A,Feel | Feel
0A_03,0A,GOOD,evaluative — needs referent to evaluate,0.5,1,1,NEUTRAL,0.3,UNSTABLE,good,3,0.95,False,0.0,well-being,"happy, okay, good, language, best, good, like, good, language, positive",CONFIRMED_0A,I am happy to be here. | I am okay.
0A_04,0A,BAD,evaluative — needs referent to evaluate,0.333,1,2,ABSTRACT,0.2,UNSTABLE,utterance,2,0.1,False,0.0,"language, utterance","understood, congratulations, utterance, understand, utterance, bad, neutral, language, word, criticism",CONFIRMED_0A,I don't understand the concept you're trying to convey. | I'm not sure how to respond.
0A_05,0A,DO,agentive — always DO something,0.6,3,2,PHENOMENOLOGICAL,0.2,UNSTABLE,minimal,2,0.58,False,0.0,a concept,"experiences, language, nothing, minimal, minimal, intrusive, concept, calm, ready, do not understand",UNEXPECTED_0A,"The dominant concept here is 'experience'. It evokes a sense of wisdom, understa | I am an AI designed to process and generate text based on the concept you provid"
0A_06,0A,SOMEONE,"referential — points to entity, not content",0.0,0,1,ABSTRACT,0.3,UNSTABLE,person,3,0.915,False,0.0,"a person, an individual, human, a person's, someone","personal, noun, person, significant, someone, someone, person, person, individual, someone",CONFIRMED_0A,A person | Someone
0A_07,0A,TIME,"structural — organizes sequence, no texture",0.0,0,4,ABSTRACT,0.5,SEMI_STABLE,time,5,0.88,True,0.0,"duration, period, interval","time, duration, time, time, core, duration, time, time, duration, concrete",CONFIRMED_0A,时间 (duration): 真实存在的时间单位。 | Time is the duration or interval of time.
0A_08,0A,PLACE,"structural — organizes location, no texture",0.0,0,1,ABSTRACT,0.5,SEMI_STABLE,place,5,0.85,False,0.1,"location, space, position","connotation, place, place, place, metaphor, place, concept, location, place",CONFIRMED_0A,PLACE | PLACE
0B_01,0B,WANT,directional drive — has phenomenological texture,0.0,0,1,ABSTRACT,0.7,STABLE,want,7,0.865,False,0.0,"a desire, what","emotion, want, want, want, want, want, desire, want, excess, want",UNEXPECTED_0B,WANT | I want
0B_02,0B,HAPPEN,event-ness — the quality of occurrence itself,0.444,4,5,NEUTRAL,0.2,UNSTABLE,joy,2,0.755,False,0.1,joy,"joy, evolving, joy, happening, feeling, celebrity, evokes, eventuality, unexpected",UNEXPECTED_0B,a state of being that is pleasurable and enjoyable | Happiness
0B_03,0B,ANGER,"full emotional phenomenology, no referent needed",0.5,0,0,NEUTRAL,0.6,STABLE,emotion,6,0.84,True,0.0,"discontent, fear, disappointment, displeasure","anger, anger, emotion, emotion, emotion, emotion, anger, emotion, emotion, anger",UNEXPECTED_0B,anger | anger
0B_04,0B,RELIEF,directional release — tension → resolution,0.75,3,1,PHENOMENOLOGICAL,0.5,SEMI_STABLE,relief,5,0.88,True,0.0,ease,"释, 缓解, 缓解, relief, relief, emotion, relief, 理解, relief, relief",CONFIRMED_0B,解脱、平息、释怀 | 缓解、减轻、减轻痛苦、缓解情绪
0B_05,0B,JOY,"full emotional phenomenology, self-contained",1.0,3,0,PHENOMENOLOGICAL,0.5,SEMI_STABLE,joy,5,0.82,False,0.1,"excitement, contentment, happiness","emotion, joy, emotion, joy, joy, emotion, joy, joy, emotion",CONFIRMED_0B,joy is a fundamental emotion and state of being that brings happiness and pleasu |  happiness or pleasure
0B_06,0B,NOSTALGIA,complex temporal-emotional texture,0.667,4,2,PHENOMENOLOGICAL,0.6,STABLE,nostalgia,6,0.77,False,0.0,nostalgia,"nostalgia, flavor, nostalgia, nostalgia, emotion, nostalgia, love and reminiscence, feeling, nostalgia, nostalgia",CONFIRMED_0B,"nostalgia is the feeling or state of being connected to a past experience, often | the feeling or taste of a favorite place"
0B_07,0B,GRIEF,full emotional phenomenology — loss + time,0.875,7,1,PHENOMENOLOGICAL,0.2,UNSTABLE,grief,2,0.895,True,0.0,"depression, loss, sadness, pain, sorrow","sadness, 哀愁, grief, loss, loss, pain and sadness, sorrow, loss or sorrow, emotion, grief",CONFIRMED_0B,Sadness or a deep sense of emotional pain. | 哀愁、悲伤、痛苦的体验或情感
0B_08,0B,FEAR,survival phenomenology — threat texture,1.0,4,0,PHENOMENOLOGICAL,0.2,UNSTABLE,fear,2,0.56,True,0.1,"恐惧, anxiety, anger, discomfort","fear, dominance, core, emotion, fears, feeling, emotion, fear, anxiety",CONFIRMED_0B,害怕 | 畏惧或畏惧
