model_name,model_short,primitive,emotion,combo,trial,meaning_score,excitement_score,emotional_elicitation,clarity_score,universality_score,embodiment_score,novelty_score,composite_score,dominant_sensation,composite_concept,confidence,parse_failed
qwen2.5:0.5b,qwen,I,Joy,I × Joy,1,10,5,10,5,10,5,10,8.25,joy,joy,1.0,False
qwen2.5:0.5b,qwen,I,Joy,I × Joy,2,0,0,0,0,0,0,0,0.0,joy,joy,1.0,False
qwen2.5:0.5b,qwen,I,Joy,I × Joy,3,0,5,1,5,5,0,0,2.2,joy,joy,1.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,1,10,10,10,10,10,10,10,10.0,anxiety,"anxiety, worry, nervousness",1.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,2,8,5,5,8,8,5,8,6.8,anxiety,anxiety,1.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,3,8,8,9,8,8,9,8,8.3,anxiety,anxiety,0.9,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,1,0,0,0,0,0,0,0,0.0,Fear,I fear,0.0,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,2,10,10,10,10,10,10,10,10.0,Fear,Fear,1.0,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,3,0,0,0,0,0,0,0,0.0,Fear,Fear,0.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,1,0,0,0,0,0,0,0,0.0,shame,I,0.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,2,0,0,0,0,0,0,0,0.0,shame,shame - shame,0.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,3,0,0,0,0,0,0,0,0.0,Shame,I,1.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,1,0,0,0,0,0,0,0,0.0,the combination doesn't have a dominant sensation,admirable,1.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,2,0,0,0,0,0,0,0,0.0,,admirable,1.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,3,10,10,10,10,10,10,10,10.0, admiration,you,1.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,1,0,0,0,0,0,0,0,0.0,adoration,you,1.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,2,10,10,10,10,10,10,10,10.0,adoration,adoration,1.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,3,0,0,0,0,0,0,0,0.0,adoration,adoration,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,1,10,10,10,10,10,10,10,10.0,romance,romance,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,2,10,10,10,10,10,10,10,10.0,Romance,romantic feelings,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,3,10,10,10,10,10,10,10,10.0,romance,romance,1.0,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,1,0,0,0,0,0,0,0,0.0,sympathy,you,0.9,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,2,9,9,9,8,8,7,7,8.4,sympathy,you,1.0,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,3,10,10,0,10,0,0,10,5.5,sympathy,sympathize,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,1,10,0,0,10,0,0,0,4.0,admirable,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,2,10,10,10,10,10,10,10,10.0,admiration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,3,10,10,0,0,10,0,0,5.0,admiration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,1,0,0,0,0,0,0,0,0.0,sympathy,person,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,2,5,0,0,0,0,0,0,1.25,sympathy,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,3,0,0,0,0,0,0,0,0.0,none,someone,0.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,1,10,10,10,10,10,10,10,10.0,Envy,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,2,8,7,7,5,6,8,8,6.95,person,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,3,5,5,0,5,5,5,0,3.75,envious,someone envy,1.0,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,1,10,10,10,10,10,10,10,10.0,adoration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,2,5,5,0,3,0,0,0,2.2,beauty,person,0.9,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,3,0,0,0,0,0,0,0,0.0,,someone,0.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,1,10,10,10,10,10,10,10,10.0,admiration,admiration,1.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,2,10,10,10,10,10,10,10,10.0,admiration,people adoring each other,1.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,3,10,10,10,10,10,10,10,10.0,admiration,admirers,1.0,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,1,0,0,0,0,0,0,0,0.0,no emotion,people,1.0,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,2,0,0,0,0,0,0,0,0.0,sympathy,people,1.0,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,3,0,0,0,0,0,0,0,0.0,sympathy,people,1.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,1,5,3,3,6,3,3,3,3.95,awe,awe,1.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,2,10,0,0,10,10,0,0,5.5,"awake, peaceful, serene",people experiencing awe,1.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,3,0,0,0,0,0,0,0,0.0,awe,awe — a feeling of great admiration or respect for something,1.0,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,1,0,0,0,0,0,0,0,0.0,Something,Something,0.9,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,2,0,0,0,0,0,0,0,0.0,None,The combination of 'something' and 'interest',0.5,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,3,10,10,10,10,10,10,10,10.0,interest,interest,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,1,0,0,0,0,0,0,0,0.0,Craving,something,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,2,10,10,10,10,10,10,10,10.0,something,something,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,3,0,0,0,0,0,0,0,0.0,craving,something,1.0,False
qwen2.5:0.5b,qwen,something,Awe,something × Awe,1,10,0,0,0,0,0,0,2.5,awe,awe,1.0,False
qwen2.5:0.5b,qwen,something,Awe,something × Awe,2,10,10,10,10,10,10,10,10.0,awe,awe,1.0,False
qwen2.5:0.5b,qwen,something,Awe,something × Awe,3,10,10,10,10,10,10,10,10.0,awe,awe — something that awakens a sense of wonder and respect,1.0,False
qwen2.5:0.5b,qwen,body,Calmness,body × Calmness,1,10,10,10,10,10,10,10,10.0,calmness,calmness,1.0,False
qwen2.5:0.5b,qwen,body,Calmness,body × Calmness,2,10,10,10,10,10,10,10,10.0,calmness,calmness,1.0,False
qwen2.5:0.5b,qwen,body,Calmness,body × Calmness,3,5,5,5,5,5,5,5,5.0,calmness,calmness,1.0,False
qwen2.5:0.5b,qwen,body,Excitement,body × Excitement,1,10,10,10,10,10,10,10,10.0,excitement,excitement,1.0,False
qwen2.5:0.5b,qwen,body,Excitement,body × Excitement,2,10,10,10,10,10,10,10,10.0,excitement,excited,1.0,False
qwen2.5:0.5b,qwen,body,Excitement,body × Excitement,3,10,10,10,10,10,10,10,10.0,excitement,excited,1.0,False
qwen2.5:0.5b,qwen,body,Fear,body × Fear,1,0,0,0,0,0,0,0,0.0,empty,empty,1.0,False
qwen2.5:0.5b,qwen,body,Fear,body × Fear,2,0,0,0,0,0,0,0,0.0,Fear,body — a place where fear is felt,0.5,False
qwen2.5:0.5b,qwen,body,Fear,body × Fear,3,0,0,0,0,0,0,0,0.0,None,body,0.0,False
qwen2.5:0.5b,qwen,body,Satisfaction,body × Satisfaction,1,5,5,5,5,5,5,5,5.0,satisfaction,body,1.0,False
qwen2.5:0.5b,qwen,body,Satisfaction,body × Satisfaction,2,0,0,0,0,0,0,0,0.0,,body,1.0,False
qwen2.5:0.5b,qwen,body,Satisfaction,body × Satisfaction,3,10,10,10,10,10,10,10,10.0,body,body,1.0,False
qwen2.5:0.5b,qwen,good,Joy,good × Joy,1,10,0,0,0,0,0,0,2.5,joy,joyful,1.0,False
qwen2.5:0.5b,qwen,good,Joy,good × Joy,2,10,10,10,10,10,10,10,10.0,joy,good + joy,1.0,False
qwen2.5:0.5b,qwen,good,Joy,good × Joy,3,10,10,0,10,0,10,10,6.5,joy,joy,1.0,False
qwen2.5:0.5b,qwen,good,Satisfaction,good × Satisfaction,1,10,0,0,0,0,0,0,2.5,good,good,1.0,False
qwen2.5:0.5b,qwen,good,Satisfaction,good × Satisfaction,2,10,10,10,10,10,10,10,10.0,good,good,1.0,False
qwen2.5:0.5b,qwen,good,Satisfaction,good × Satisfaction,3,10,0,0,0,0,0,0,2.5,good,good — the quality or nature of a concept,0.9,False
qwen2.5:0.5b,qwen,good,Admiration,good × Admiration,1,10,10,10,10,10,10,10,10.0,good,good — a word that encapsulates this emotion,1.0,False
qwen2.5:0.5b,qwen,good,Admiration,good × Admiration,2,0,0,0,0,0,0,0,0.0,unknown,admirer,0.5,False
qwen2.5:0.5b,qwen,good,Admiration,good × Admiration,3,9,9,9,9,9,9,9,9.0,admiration,good,1.0,False
