id,type,prompt,answer,direct_correct,direct_matches,direct_has_reasoning,direct_has_structure,direct_length,srm_correct,srm_matches,srm_has_reasoning,srm_has_structure,srm_length
1,logic,All roses are flowers. Some flowers die quickly. Can we conclude some roses die quickly?,No - the flowers that die quickly may not be roses,True,2,True,True,259,False,0,True,True,153
2,logic,"If it rains, the ground gets wet. The ground is wet. Did it rain?",No - the ground could be wet for another reason,True,2,True,True,160,False,0,True,True,185
3,logic,Every bird can fly. Penguins are birds. Can penguins fly?,No - premise is false,True,2,True,False,177,False,0,True,True,215
4,math,Solve: 2x + 5 = 15. What is x?,x = 5,True,2,True,False,160,True,2,True,True,212
5,math,What is 15% of 80?,12,True,1,True,False,137,True,1,True,True,87
6,math,"If a store sells 3 apples for $2, how much for 15 apples?",$10,True,1,True,True,170,False,0,True,True,209
7,algebra,"If f(x) = 3x - 2, and f(x) = 7, what is x?",x = 3,True,2,True,True,200,True,2,True,True,314
8,algebra,Solve for y: y/4 + 3 = 7,y = 16,True,2,True,False,129,True,2,True,True,125
9,causal,Why does a ball thrown up come back down?,Gravity,False,0,True,False,145,False,0,True,True,176
10,causal,Why does touching a hot stove cause pain?,Nerve signals / damage,True,1,True,True,327,True,1,True,True,216
11,deduction,"There are 3 boxes: red, blue, green. The red box is to the left of the blue. The green box is in the middle. What's the order left to right?","Red, Green, Blue",False,0,False,False,8,True,3,True,True,111
12,deduction,A is taller than B. B is taller than C. Who is tallest?,A,True,3,True,False,78,True,3,True,True,123
13,spatial,"If you face north and turn right twice, what direction do you face?",South,True,2,True,False,107,True,1,True,True,213
14,spatial,A clock shows 3:00. What angle between hour and minute hands?,90 degrees,False,0,True,False,277,True,1,True,True,91
15,counterfactual,"If 2+2=5, and you have 2 apples and get 2 more, how many apples?",The math is broken - can't determine,False,0,True,True,235,True,1,True,True,255
16,counterfactual,"If fish could fly, would they need water?",Biologically yes - they'd still be fish,True,3,True,False,190,True,2,True,True,45
17,pattern,"What comes next: 2, 4, 8, 16, ?",32 (doubling),True,1,True,True,215,False,0,True,True,116
18,pattern,"What comes next: A, C, E, G, ?",I (skip one letter),True,1,True,True,174,True,1,True,True,187
19,conditional,"If all dogs are mammals, and Fluffy is a dog, what can we conclude?",Fluffy is a mammal,True,2,True,True,46,True,2,True,True,30
20,conditional,"If it snows, school is cancelled. School is cancelled. Did it snow?",No - could be cancelled for other reason,True,2,True,True,201,True,1,True,True,243
