pair_id,word_a,word_b,pair,consistency_score,dominant_concept,concept_real,avg_confidence,concept_variance,density_class,trial_concepts
1,tension,storm,tension + storm,0.667,tension,0.667,0.833,"['tension', 'tension', 'tension and storm']",SPARSE,"tension, tension, tension and storm"
2,anguish,boundary,anguish + boundary,0.667,anguish,0.667,0.967,"['anguish', 'anguish and boundary', 'anguish']",SPARSE,"anguish, anguish and boundary, anguish"
3,feminine,emergence,feminine + emergence,1.0,emergence,1.0,0.933,"['emergence', 'emergence', 'emergence']",DENSE,"emergence, emergence, emergence"
4,torment,pattern,torment + pattern,0.333,torture,0.333,0.9,"['torture', 'suffering', 'torment']",UNSTABLE,"torture, suffering, torment"
5,longing,tension,longing + tension,1.0,tension,1.0,0.867,"['tension', 'tension', 'tension']",DENSE,"tension, tension, tension"
6,warmth,radiance,warmth + radiance,0.667,warmth,1.0,1.0,"['warmth', 'warmth', 'radiance']",SPARSE,"warmth, warmth, radiance"
7,structure,flame,structure + flame,0.667,flame,0.667,0.85,"['fire', 'flame', 'flame']",SPARSE,"fire, flame, flame"
8,longing,void,longing + void,0.333,longing void,0.0,0.967,"['longing void', 'an emotional state of deep sorrow or melancholy', 'yearning for something']",UNSTABLE,"longing void, an emotional state of deep sorrow or melancholy, yearning for something"
9,wither,boundary,wither + boundary,0.667,boundary,0.667,0.933,"['boundary', 'concrete', 'boundary']",SPARSE,"boundary, concrete, boundary"
10,descent,tide,descent + tide,0.667,tide,0.667,0.9,"['tide', 'descending tides', 'tide']",SPARSE,"tide, descending tides, tide"
11,shatter,echo,shatter + echo,0.667,shatter,0.667,0.8,"['shatter', 'disruption', 'shatter']",SPARSE,"shatter, disruption, shatter"
12,sunder,tension,sunder + tension,1.0,tension,1.0,1.0,"['tension', 'tension', 'tension']",DENSE,"tension, tension, tension"
13,dread,sorrow,dread + sorrow,0.333,sorrow,0.667,1.0,"['sorrow', 'dread and sorrow', 'dread']",UNSTABLE,"sorrow, dread and sorrow, dread"
14,doom,smolder,doom + smolder,0.333,doom,0.333,0.933,"['doom', 'scary feeling', 'disaster and decay']",UNSTABLE,"doom, scary feeling, disaster and decay"
15,cleave,emergence,cleave + emergence,1.0,emergence,1.0,0.9,"['emergence', 'emergence', 'emergence']",DENSE,"emergence, emergence, emergence"
16,sunder,warmth,sunder + warmth,0.333,warming,0.667,0.933,"['warming', 'cold', 'warmth']",UNSTABLE,"warming, cold, warmth"
17,despair,anticipation,despair + anticipation,0.667,despair,0.667,0.933,"['despair', 'desperation', 'despair']",SPARSE,"despair, desperation, despair"
18,convergence,storm,convergence + storm,0.667,convergence,0.667,0.9,"['convergence storm', 'convergence', 'convergence']",SPARSE,"convergence storm, convergence, convergence"
19,dread,emergence,dread + emergence,0.667,emergence,1.0,0.75,"['emergence', 'dread', 'emergence']",SPARSE,"emergence, dread, emergence"
20,smolder,conflict,smolder + conflict,1.0,conflict,1.0,0.983,"['conflict', 'conflict', 'conflict']",DENSE,"conflict, conflict, conflict"
21,grief,descent,grief + descent,0.667,grief,1.0,0.9,"['grief', 'loss', 'grief']",SPARSE,"grief, loss, grief"
22,solstice,convergence,solstice + convergence,0.333,sun-sky alignment,0.333,0.9,"['sun-sky alignment', 'convergence', 'solstice convergence']",UNSTABLE,"sun-sky alignment, convergence, solstice convergence"
23,decay,emergence,decay + emergence,1.0,decay,1.0,0.833,"['decay', 'decay', 'decay']",DENSE,"decay, decay, decay"
24,fishing,loss,fishing + loss,0.667,loss,0.667,1.0,"['loss', 'loss', 'fishing loss']",SPARSE,"loss, loss, fishing loss"
25,decay,void,decay + void,0.667,decay,1.0,0.867,"['decay', 'decay', 'void']",SPARSE,"decay, decay, void"
26,despair,silence,despair + silence,0.333,disbelief and sadness,0.333,0.9,"['disbelief and sadness', 'suffering', 'silence']",UNSTABLE,"disbelief and sadness, suffering, silence"
27,despair,echo,despair + echo,0.333,despair,0.333,0.933,"['despair', 'depression', 'disappointment and despair']",UNSTABLE,"despair, depression, disappointment and despair"
28,tension,bloom,tension + bloom,1.0,tension,1.0,0.933,"['tension', 'tension', 'tension']",DENSE,"tension, tension, tension"
29,storm,blood,storm + blood,0.333,storm and blood,0.333,0.933,"['storm and blood', 'storm', 'storm blood']",UNSTABLE,"storm and blood, storm, storm blood"
30,radiance,echo,radiance + echo,0.667,radiance echo,0.333,0.967,"['radiance echo', 'radiance', 'radiance echo']",SPARSE,"radiance echo, radiance, radiance echo"
31,tension,flow,tension + flow,0.667,tension,1.0,0.933,"['tension', 'tension', 'flow']",SPARSE,"tension, tension, flow"
32,loss,fracture,loss + fracture,0.333,loss,0.667,0.833,"['loss', 'fracture', 'loss fracture']",UNSTABLE,"loss, fracture, loss fracture"
33,loss,conflict,loss + conflict,0.667,loss,0.667,0.833,"['loss', 'loss conflict', 'loss']",SPARSE,"loss, loss conflict, loss"
34,anticipation,stillness,anticipation + stillness,0.667,anticipation,1.0,0.833,"['stillness', 'anticipation', 'anticipation']",SPARSE,"stillness, anticipation, anticipation"
35,silence,flow,silence + flow,1.0,silence,1.0,1.0,"['silence', 'silence', 'silence']",DENSE,"silence, silence, silence"
36,wither,sunder,wither + sunder,0.667,water,0.0,0.967,"['water', 'suspense and tension', 'water']",SPARSE,"water, suspense and tension, water"
37,grief,flow,grief + flow,0.667,grief,1.0,0.933,"['mourning', 'grief', 'grief']",SPARSE,"mourning, grief, grief"
38,loss,breath,loss + breath,1.0,loss,1.0,0.867,"['loss', 'loss', 'loss']",DENSE,"loss, loss, loss"
39,forsaken,boundary,forsaken + boundary,0.667,forsaken,0.667,0.867,"['forsaken', 'forsaken', 'forsaken boundary']",SPARSE,"forsaken, forsaken, forsaken boundary"
40,sorrow,conflict,sorrow + conflict,0.667,conflict,0.667,0.9,"['conflict', 'sorrow conflict', 'conflict']",SPARSE,"conflict, sorrow conflict, conflict"
41,cleave,pattern,cleave + pattern,0.667,pattern,0.667,0.9,"['pattern', 'cleave pattern', 'pattern']",SPARSE,"pattern, cleave pattern, pattern"
42,bleak,sorrow,bleak + sorrow,0.667,sorrow,0.667,0.933,"['sorrow', 'blight', 'sorrow']",SPARSE,"sorrow, blight, sorrow"
43,boundary,storm,boundary + storm,0.667,boundary,0.667,0.933,"['boundary', 'boundary', 'storm boundary']",SPARSE,"boundary, boundary, storm boundary"
44,solstice,storm,solstice + storm,0.667,solstice,0.0,0.867,"['solstice', 'solstice', 'solstice storm']",SPARSE,"solstice, solstice, solstice storm"
45,magnetic,languish,magnetic + languish,0.667,magnetic,0.667,0.983,"['magnetic', 'magical languish', 'magnetic']",SPARSE,"magnetic, magical languish, magnetic"
46,hollow,echo,hollow + echo,0.333,sound,0.333,1.0,"['sound', 'empty', 'echo']",UNSTABLE,"sound, empty, echo"
47,stillness,flame,stillness + flame,1.0,stillness,1.0,0.967,"['stillness', 'stillness', 'stillness']",DENSE,"stillness, stillness, stillness"
48,grief,dissolve,grief + dissolve,1.0,grief,1.0,0.767,"['grief', 'grief', 'grief']",DENSE,"grief, grief, grief"
49,shatter,anguish,shatter + anguish,1.0,shattering,0.0,0.933,"['shattering', 'shattering', 'shattering']",ANCHORED,"shattering, shattering, shattering"
50,solstice,echo,solstice + echo,1.0,solstice echo,0.0,0.833,"['solstice echo', 'solstice echo', 'solstice echo']",ANCHORED,"solstice echo, solstice echo, solstice echo"
51,radiance,fracture,radiance + fracture,1.0,radiance,1.0,0.867,"['radiance', 'radiance', 'radiance']",DENSE,"radiance, radiance, radiance"
52,conflict,threshold,conflict + threshold,1.0,conflict,1.0,0.833,"['conflict', 'conflict', 'conflict']",DENSE,"conflict, conflict, conflict"
53,forsaken,shatter,forsaken + shatter,0.667,shattered,0.333,1.0,"['forsaken', 'shattered', 'shattered']",SPARSE,"forsaken, shattered, shattered"
54,smolder,longing,smolder + longing,0.333,sensation,0.0,0.833,"['sensation', 'flames and emotions', 'soul']",UNSTABLE,"sensation, flames and emotions, soul"
