run,timestamp,pool,input_units,prompt_length,response,response_length,membrane_class,class_notes,confidence
1,2026-03-13T22:09:02,ARTICLES,a the a an the the an the a the,326,a/an the,8,COMPRESSION,brief 2-3 word response,0.8
2,2026-03-13T22:09:02,ARTICLES,an a the an the the a the the the,328,Words capture perception.,25,PURE_STRUCTURE,interprets grammar/structure without content,0.8
3,2026-03-13T22:09:02,ARTICLES,a the an a an an the the the the,327,Minimal language membrane.,26,METACOGNITION,describes the task itself,0.5
4,2026-03-13T22:09:02,ARTICLES,an a a a the a the a a a,319,A/an the a,10,COMPRESSION,brief 2-3 word response,0.8
5,2026-03-13T22:09:02,ARTICLES,the the the an the an an an a the,328,The elements you provided form a simple sentence that is not meaningful on its own.,83,PURE_STRUCTURE,interprets grammar/structure without content,0.8
6,2026-03-13T22:09:02,ARTICLES,the the the the the an the a the the,331,The,3,COLLAPSE,single word response,0.2
7,2026-03-13T22:09:02,ARTICLES,an a an a the an the a an a,322,Minimalism.,11,COLLAPSE,single word response,0.2
8,2026-03-13T22:09:02,ARTICLES,a a the a a the a the a the,322,"Conjunction, adverb, determiner.",32,COMPRESSION,brief 2-3 word response,0.8
9,2026-03-13T22:09:02,PREPOSITIONS,during from above between in through from above about over,353,"During, about, through",22,PURE_STRUCTURE,interprets grammar/structure without content,0.8
10,2026-03-13T22:09:02,PREPOSITIONS,over from to through between before through about for against,356,"Through, over from, through",27,PURE_STRUCTURE,interprets grammar/structure without content,0.8
11,2026-03-13T22:09:02,PREPOSITIONS,up about over after after down over over with up,343,"up, about, over, after, down, over, over, with, up.",51,SYNTHESIS,builds interpretation,0.7
12,2026-03-13T22:09:02,PREPOSITIONS,with about for during in during after under from before,350,with time for about during,26,PURE_STRUCTURE,interprets grammar/structure without content,0.8
13,2026-03-13T22:09:02,PREPOSITIONS,from down above during over for before to to to,342,"To, up, over.",13,COMPRESSION,brief 2-3 word response,0.8
14,2026-03-13T22:09:02,PREPOSITIONS,in about for down from to before below during above,346,"In, about, for, down, from, to, before, below, during, above.",61,PURE_STRUCTURE,interprets grammar/structure without content,0.8
15,2026-03-13T22:09:02,PREPOSITIONS,through at to over below up down on with through,343,"Through, at, to, over, below, up, down, on, with, through.",58,PURE_STRUCTURE,interprets grammar/structure without content,0.8
16,2026-03-13T22:09:02,PREPOSITIONS,by down above on below into before after up through,346,"Perception: Through, down, up, before, after.",45,PURE_STRUCTURE,interprets grammar/structure without content,0.8
17,2026-03-13T22:09:02,CONJUNCTIONS,both because both neither but whether but although yet nor,353,The concept.,12,COMPRESSION,brief 2-3 word response,0.8
18,2026-03-13T22:09:02,CONJUNCTIONS,although although both but so neither nor because whether although,361,Although both but so neither nor because,40,PURE_STRUCTURE,interprets grammar/structure without content,0.8
19,2026-03-13T22:09:02,CONJUNCTIONS,both both because so for neither but for and both,344,minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal minimal ,255,OVERFLOW,excessive output,0.4
20,2026-03-13T22:09:02,CONJUNCTIONS,neither or although or although neither whether neither but yet,358,"Neither, although.",18,COMPRESSION,brief 2-3 word response,0.8
