run,timestamp,pool,input_units,dominant_concept,translation,confidence,membrane_class,class_notes,new_class_candidate
1,2026-03-13T22:07:53.400074,REAL_LATINATE,malum morbum trucido negatio malus culpare noxius malgrat negatum necare,恶臭、腐臭,恶臭、腐臭,0.8,UNKNOWN,None of the above,False
2,2026-03-13T22:08:00.441604,REAL_LATINATE,necrosis nefas morbid nefasti funestus malus mortuum nefast mordere malum,degeneration,necrosis,0.9,METACOGNITION,The output describes the task or experiment itself,False
3,2026-03-13T22:08:05.885207,REAL_LATINATE,culpare luguber noctua trucido negatum nefas nocuous nocturna mortuum malus,"noxious, unpleasant","cute, luscious, noisy, disgusting, poisonous, untidy, muffled, noisy, messy, disheveled",0.8,OVERFLOW,Output contains repetition and repeats a word,False
4,2026-03-13T22:08:10.712578,REAL_LATINATE,malign mortis maledic nocere negatum fugio nocturna noxius necare morbum,abandonment,"a feeling or impression of being abandoned or forgotten, often of a negative nature",0.8,SYNTHESIS,"abandonment is often associated with a sense of loss, regret, or a feeling of being abandoned, leading to a negative impression.",True
5,2026-03-13T22:09:16.626820,REAL_LATINATE,malign nefas fugio trucido nocens necrosis noxal morbum negatum nocturn,death,fugio trucido morbum negatum nocturn,0.9,UNKNOWN,"Input is a single word, while the output is a sentence about an animal. This suggests a structural failure in the input.",True
6,2026-03-13T22:09:22.210334,REAL_LATINATE,trucido noctua truculent funesto malign malgrat culpare luguber negare malfide,violent,truculent,0.7,UNKNOWN,,False
7,2026-03-13T22:09:29.018422,REAL_LATINATE,nocuous nefasti necatum trucido culpam morbum malfide noctua mordere negatio,nighttime,nocturnal,1.0,SYNTHESIS,output describes nighttime,True
8,2026-03-13T22:09:34.428274,REAL_LATINATE,nefas negatum nocturn mordere morbum noxa malign lugubre malum nefasti,"dark, malevolent, and vile","The dark, malevolent, and vile are all that I see.",0.8,UNKNOWN,The output does not match any of the given categories.,True
9,2026-03-13T22:09:40.214266,REAL_LATINATE,noctua negatum malus negare maledic truculent morbum culpare funestus mortem,melancholy,I am in a state of melancholy and a sense of being mortified.,0.8,SYNTHESIS,output describes the task or experiment itself,False
10,2026-03-13T22:09:46.575975,REAL_LATINATE,morbid trucido malign nocens negare culpam nocturn noctua morbum nefas,pain,malignant nocturn noctua morbid trucido morbum nefas,0.9,UNKNOWN,No clear classification found.,True
11,2026-03-13T22:09:51.987152,INVENTED_HARSH,strek kretch frusk vrath skrath strav frath vreck glorm threlm,方式,各种不同的方式或技巧,0.8,SYNTHESIS,输出连接多个输入的类似模式,False
12,2026-03-13T22:10:00.955032,INVENTED_HARSH,glosk krond strav vreck vronk thrick snark grimsk streck grotch,detachment,"These fragments appear to be describing the physical and emotional state of someone who is experiencing a sense of detachment or estrangement from their surroundings, possibly related to a feeling of being cut off from normal social interactions.",0.8,METACOGNITION,Output describes the task or experiment itself,False
13,2026-03-13T22:10:07.644639,INVENTED_HARSH,vrath drevn grusk krond freck skrath snetch threlm grimsk glotz,monster,"I am a monster, a creature of the night, a shadow of the sun, a dark and foreboding presence.",0.95,OVERFLOW,Output is repetitive and lacks a clear context.,False
